date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:46:09	3885/3885	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2020%20May%202020%2009:44:30%20GMT	http://gulfhealthrecruit.com/robots.txt		(from )
13:46:10	20982/20982	---M--	200	added ('OK')	text/html	etag:%221d9c1e3-51f6-5a4e3de42bb40%22	http://gulfhealthrecruit.com/	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/index.html	(from )
13:46:11	6628/6628	---M--	200	added ('OK')	image/png	etag:%221d9c208-19e4-5a4d521c37440%22	http://gulfhealthrecruit.com/img/favicon.png	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/img/favicon.png	(from http://gulfhealthrecruit.com/)
13:46:14	155758/155758	---M--	200	added ('OK')	text/css	etag:%221d9c255-2606e-5a4d5385a8900%22	http://gulfhealthrecruit.com/lib/bootstrap/css/bootstrap.min.css	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/bootstrap/css/bootstrap.min.css	(from http://gulfhealthrecruit.com/)
13:46:14	31000/31000	---M--	200	added ('OK')	text/css	etag:%221d9c249-7918-585880d230a80%22	http://gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/font-awesome/css/font-awesome.min.css	(from http://gulfhealthrecruit.com/)
13:46:16	16964/16964	---M--	200	added ('OK')	text/css	etag:%221d9c234-4244-585880d230a80%22	http://gulfhealthrecruit.com/lib/animate/animate.min.css	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/animate/animate.min.css	(from http://gulfhealthrecruit.com/)
13:46:18	51284/51284	---M--	200	added ('OK')	text/css	etag:%221d9c219-c854-585880d230a80%22	http://gulfhealthrecruit.com/lib/ionicons/css/ionicons.min.css	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/ionicons/css/ionicons.min.css	(from http://gulfhealthrecruit.com/)
13:46:18	3351/3351	---M--	200	added ('OK')	text/css	etag:%221d9c23b-d17-585880d230a80%22	http://gulfhealthrecruit.com/lib/owlcarousel/assets/owl.carousel.min.css	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/owlcarousel/assets/owl.carousel.min.css	(from http://gulfhealthrecruit.com/)
13:46:19	2608/2608	---M--	200	added ('OK')	text/css	etag:%221d9c228-a30-585880d230a80%22	http://gulfhealthrecruit.com/lib/lightbox/css/lightbox.min.css	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/lib/lightbox/css/lightbox.min.css	(from http://gulfhealthrecruit.com/)
13:46:20	20694/20694	---M--	200	added ('OK')	text/css	etag:%221d9c1e0-50d6-5a5d84c0d1cc0%22	http://gulfhealthrecruit.com/css/style.css	E:/zNew%20site/New%20Web%20Site/gulfhealthrecruit.com/css/style.css	(from http://gulfhealthrecruit.com/)
